Rank,CityName,StateName,StateCode,Population,Latitude,Longitude,GeonamePopulation,GeonameId
235,El Monte,California,CA,116732,34.06862,-118.02757,113475,5345743
236,Springfield,Illinois,IL,116565,39.80172,-89.64371,116250,4250542
237,Round Rock,Texas,TX,115997,30.50826,-97.6789,99887,4724129
238,Wilmington,North Carolina,NC,115933,34.22573,-77.94471,106476,4499379
239,Arvada,Colorado,CO,115368,39.80276,-105.08748,106433,5412199
240,Provo,Utah,UT,115264,40.23384,-111.65853,112488,5780026
241,Peoria,Illinois,IL,115070,40.69365,-89.58899,115007,4905687
242,Lansing,Michigan,MI,115056,42.73253,-84.55553,114297,4998830
243,Downey,California,CA,114219,33.94001,-118.13257,111772,5343858
244,Carlsbad,California,CA,113453,33.15809,-117.35059,105328,5334223
245,Costa Mesa,California,CA,113204,33.64113,-117.91867,109960,5339840
246,Miami Gardens,Florida,FL,113187,25.94204,-80.2456,107167,4164167
247,Westminster,Colorado,CO,113130,39.83665,-105.0372,106114,5443910
248,Clearwater,Florida,FL,113003,27.96585,-82.8001,107685,4151316
249,Fairfield,California,CA,112970,38.24936,-122.03997,105321,5347335
250,Rochester,Minnesota,MN,112225,44.02163,-92.4699,106769,5043473
251,Elgin,Illinois,IL,112111,42.03725,-88.28119,108188,4890864
252,Temecula,California,CA,112011,33.49364,-117.14836,100097,5401395
253,West Jordan,Utah,UT,111946,40.60967,-111.9391,103712,5784549
254,Inglewood,California,CA,111666,33.96168,-118.35313,109673,5359488
255,Richardson,Texas,TX,110815,32.94818,-96.72972,99223,4722625
256,Lowell,Massachusetts,MA,110699,42.63342,-71.31617,106519,4942618
257,Gresham,Oregon,OR,110553,45.49818,-122.43148,105594,5729485
258,Antioch,California,CA,110542,38.00492,-121.80579,102372,5324200
259,Cambridge,Massachusetts,MA,110402,42.3751,-71.10561,105162,4931972
260,High Point,North Carolina,NC,110268,35.95569,-80.00532,104371,4471025
261,Billings,Montana,MT,110263,45.78329,-108.50069,104170,5640350
262,Manchester,New Hampshire,NH,110229,42.99564,-71.45479,109565,5089178
263,Murrieta,California,CA,109830,33.55391,-117.21392,103466,5375911
264,Centennial,Colorado,CO,109741,39.57916,-104.87692,100377,5416541
265,Richmond,California,CA,109708,37.93576,-122.34775,103701,5387428
266,Ventura,California,CA,109708,34.27834,-119.29317,96769,5405878
267,Pueblo,Colorado,CO,109412,38.25445,-104.60914,106595,5435464
